horizon,best_model,metric,best_value
1,benchmark_lag123,crps_det,0.2180108251607967
2,benchmark_lag123,crps_det,0.2336778458946719
3,benchmark_lag123,crps_det,0.24048135509306517
4,benchmark_lag123,crps_det,0.25505073835575875
5,benchmark_lag123,crps_det,0.25974330408884755
6,benchmark_lag123,crps_det,0.2618137987302746
7,benchmark_lag123,crps_det,0.2679078146324802
1,benchmark_lag123,crps_prob,0.2453475968304697
2,benchmark_lag123,crps_prob,0.26088333178480116
3,benchmark_lag123,crps_prob,0.26854104641462706
4,benchmark_lag123,crps_prob,0.2812549386113199
5,benchmark_lag123,crps_prob,0.28664817457613784
6,benchmark_lag123,crps_prob,0.2889459135182786
7,benchmark_lag123,crps_prob,0.2921817003038227
1,benchmark_lag123,mse,0.3045592610529942
2,benchmark_lag123,mse,0.342913947066751
3,benchmark_lag123,mse,0.36222874832164054
4,benchmark_lag123,mse,0.39491831041755227
5,benchmark_lag123,mse,0.40242374803525527
6,benchmark_lag123,mse,0.4143920807180286
7,benchmark_lag123,mse,0.4289832348554322
1,benchmark_lag123,rmse,0.5518688803085332
2,benchmark_lag123,rmse,0.5855885475884506
3,benchmark_lag123,rmse,0.6018544245260979
4,benchmark_lag123,rmse,0.6284252623960563
5,benchmark_lag123,rmse,0.634368779209109
6,benchmark_lag123,rmse,0.6437329265448744
7,benchmark_lag123,rmse,0.654968117434301
