horizon,model,feature,importance
1,regime_rf10,wgi_VA_EST,1.5224559265133102
1,regime_rf10,vdem_v2x_libdem,1.1608541862634894
1,regime_rf10,vdem_v2x_polyarchy,1.1269495085151948
1,regime_rf10,vdem_v2x_egaldem,1.080924365569529
1,regime_rf10,polity_polity2,0.9725717949467844
1,regime_rf10,vdem_v2x_delibdem,0.9248432419637781
1,regime_rf10,vdem_v2x_partipdem,0.8993329802572021
1,regime_rf10,wgi_RL_EST,0.8473661280980962
1,regime_rf10,wgi_GE_EST,0.7234000795058437
1,regime_rf10,fh_cl,0.32116575954522664
2,regime_rf10,wgi_VA_EST,1.46889898471285
2,regime_rf10,vdem_v2x_libdem,1.3237848030251642
2,regime_rf10,vdem_v2x_polyarchy,1.1935061232679538
2,regime_rf10,polity_polity2,1.1455998813374244
2,regime_rf10,wgi_RL_EST,1.08863851467244
2,regime_rf10,vdem_v2x_egaldem,1.0406288056331092
2,regime_rf10,vdem_v2x_partipdem,0.9838034201040332
2,regime_rf10,vdem_v2x_delibdem,0.8920387871594408
2,regime_rf10,wgi_GE_EST,0.8381965451150482
2,regime_rf10,fh_cl,0.4679623055673292
3,regime_rf10,wgi_VA_EST,1.788401175666631
3,regime_rf10,vdem_v2x_libdem,1.506432655129134
3,regime_rf10,vdem_v2x_polyarchy,1.4513998252467124
3,regime_rf10,vdem_v2x_egaldem,1.2649322240991998
3,regime_rf10,polity_polity2,1.186362159195487
3,regime_rf10,vdem_v2x_delibdem,1.135410054848308
3,regime_rf10,wgi_RL_EST,1.1323589989508265
3,regime_rf10,vdem_v2x_partipdem,1.0207829223953298
3,regime_rf10,wgi_GE_EST,0.8534505864639541
3,regime_rf10,fh_cl,0.6913124335598617
4,regime_rf10,wgi_VA_EST,1.8145672212487785
4,regime_rf10,vdem_v2x_libdem,1.5719969177481175
4,regime_rf10,vdem_v2x_polyarchy,1.4306185447650976
4,regime_rf10,vdem_v2x_egaldem,1.3097998451054549
4,regime_rf10,wgi_RL_EST,1.3070609563503313
4,regime_rf10,polity_polity2,1.2713245023649349
4,regime_rf10,vdem_v2x_partipdem,1.1467298347408186
4,regime_rf10,vdem_v2x_delibdem,1.1455996280788934
4,regime_rf10,wgi_GE_EST,0.98317091907975
4,regime_rf10,fh_cl,0.8617969186087316
5,regime_rf10,wgi_VA_EST,2.0067777674251905
5,regime_rf10,vdem_v2x_libdem,1.8417282204057255
5,regime_rf10,vdem_v2x_polyarchy,1.5455437965731387
5,regime_rf10,vdem_v2x_egaldem,1.4383931631235498
5,regime_rf10,wgi_RL_EST,1.361430218873523
5,regime_rf10,polity_polity2,1.3571160878812103
5,regime_rf10,vdem_v2x_partipdem,1.2432066910061732
5,regime_rf10,vdem_v2x_delibdem,1.2430197506339073
5,regime_rf10,wgi_GE_EST,0.945129169494049
5,regime_rf10,fh_cl,0.8099370178086406
6,regime_rf10,wgi_VA_EST,2.067528067817592
6,regime_rf10,vdem_v2x_libdem,1.6601299107282632
6,regime_rf10,vdem_v2x_polyarchy,1.4896639775835367
6,regime_rf10,polity_polity2,1.4289099852532987
6,regime_rf10,vdem_v2x_egaldem,1.3295320495054965
6,regime_rf10,wgi_RL_EST,1.3085245554959108
6,regime_rf10,vdem_v2x_partipdem,1.2907008477361916
6,regime_rf10,vdem_v2x_delibdem,1.2692006920462606
6,regime_rf10,wgi_GE_EST,1.0985285826236946
6,regime_rf10,fh_cl,0.6980191889329187
7,regime_rf10,wgi_VA_EST,1.9583730887979187
7,regime_rf10,vdem_v2x_libdem,1.8010062079719626
7,regime_rf10,vdem_v2x_polyarchy,1.4629700058750637
7,regime_rf10,vdem_v2x_delibdem,1.4259913917360814
7,regime_rf10,polity_polity2,1.398678067201655
7,regime_rf10,wgi_RL_EST,1.385457761871316
7,regime_rf10,vdem_v2x_egaldem,1.305774244255555
7,regime_rf10,vdem_v2x_partipdem,1.2749985212719592
7,regime_rf10,wgi_GE_EST,1.1194758790004167
7,regime_rf10,fh_cl,0.49635153988238756
